pair,mean,std
$\gamma^{110}$$\leftrightarrow$$\gamma^{110}$,0.030419,0.047267
$\gamma^{110}$$\leftrightarrow$$\tau^{110}$,0.012578,0.025568
$\gamma^{110}$$\leftrightarrow$$\gamma^{112}$,0.013491,0.011939
$\gamma^{110}$$\leftrightarrow$$\tau^{112}$,0.010278,0.017402
$\gamma^{110}$$\leftrightarrow$$\gamma^{123}$,0.033095,0.055933
$\gamma^{110}$$\leftrightarrow$$\tau^{123}$,0.009585,0.011976
$\tau^{110}$$\leftrightarrow$$\tau^{110}$,0.041476,0.198499
$\tau^{110}$$\leftrightarrow$$\gamma^{112}$,0.010261,0.013497
$\tau^{110}$$\leftrightarrow$$\tau^{112}$,0.021431,0.097087
$\tau^{110}$$\leftrightarrow$$\gamma^{123}$,0.027736,0.136132
$\tau^{110}$$\leftrightarrow$$\tau^{123}$,0.011819,0.023747
$\gamma^{112}$$\leftrightarrow$$\gamma^{112}$,0.174988,0.288189
$\gamma^{112}$$\leftrightarrow$$\tau^{112}$,0.011082,0.012092
$\gamma^{112}$$\leftrightarrow$$\gamma^{123}$,0.014074,0.020476
$\gamma^{112}$$\leftrightarrow$$\tau^{123}$,0.012220,0.012781
$\tau^{112}$$\leftrightarrow$$\tau^{112}$,0.016072,0.052205
$\tau^{112}$$\leftrightarrow$$\gamma^{123}$,0.024297,0.098119
$\tau^{112}$$\leftrightarrow$$\tau^{123}$,0.011397,0.018561
$\gamma^{123}$$\leftrightarrow$$\gamma^{123}$,0.139389,0.214079
$\gamma^{123}$$\leftrightarrow$$\tau^{123}$,0.016839,0.041171
$\tau^{123}$$\leftrightarrow$$\tau^{123}$,0.017681,0.028357
